country,year,export_entropy,import_entropy,n_export_partners,n_import_partners,total_exports_usd,total_imports_usd,weighted_out_degree,weighted_in_degree
ARG,2000,0.46876923226603723,0.2955535661358858,9,9,10790770756.0,7439335241.0,10790770756.0,7439335241.0
ARG,2001,0.5311613505673188,0.31801859246566927,9,9,10541463137.0,6112401868.35,10541463137.0,6112401868.35
ARG,2002,0.602217384449656,0.28066536150116983,9,9,9610109639.0,2764542729.05,9610109639.0,2764542729.05
ARG,2003,0.6058425278150528,0.24872817892032112,9,9,10099010538.0,5227213034.637,10099010538.0,5227213034.637
ARG,2004,0.6245210419621019,0.25272020524675054,9,9,11647616111.0,8456471822.077001,11647616111.0,8456471822.077
ARG,2005,0.6374079280914131,0.27668444410070037,9,9,13760931236.0,11659572635.401001,13760931236.0,11659572635.401001
ARG,2006,0.6428960646174888,0.29768873248146355,9,9,16285033270.0,13988251630.888,16285033270.0,13988251630.888
ARG,2007,0.609841129730248,0.29255556462502796,9,9,18653613840.0,17041807678.731,18653613840.0,17041807678.731
ARG,2008,0.5918701197167245,0.29422799004421174,9,8,22646015813.0,20800063264.677002,22646015813.0,20800063264.677
ARG,2009,0.5865100300034173,0.3101049084223304,9,9,19514933637.0,15316318128.959002,19514933637.0,15316318128.959
ARG,2010,0.5794286652000332,0.31226374406106117,9,9,23792763243.0,22273848392.729996,23792763243.0,22273848392.73
ARG,2011,0.5726306857102212,0.32535261858510606,9,9,27976843981.0,27513059710.841,27976843981.0,27513059710.841
ARG,2012,0.5973395562982343,0.4109381974310828,9,9,27839508393.0,23794406266.237,27839508393.0,23794406266.237
ARG,2013,0.5651351085663031,0.41298060714187046,9,8,25015252230.0,25981846160.754,25015252230.0,25981846160.754
ARG,2014,0.5420252588380796,0.44000964284257643,9,9,20837649015.24,19691603411.275997,20837649015.24,19691603411.276
ARG,2015,0.5367951157156985,0.426395815930307,9,9,15354200292.57,17136194942.919,15354200292.57,17136194942.919
ARG,2016,0.5734389881640924,0.3744320346758188,9,9,14372440306.230001,16927243318.251,14372440306.230001,16927243318.251
ARG,2017,0.606386711017644,0.369081152889898,9,9,15411975386.539999,22063085089.964,15411975386.539999,22063085089.964
ARG,2018,0.5823709560376513,0.39540825034475935,9,9,18127299151.94,19144979726.384,18127299151.94,19144979726.384
ARG,2019,0.6144153555679495,0.43047876450196243,9,9,17720216455.989998,13105883429.008,17720216455.989998,13105883429.008
ARG,2020,0.6205400096521054,0.438434891974847,9,9,14156540858.1,11385409538.417,14156540858.1,11385409538.417
ARG,2021,0.638855401389572,0.40496107347080584,9,9,21280964646.28,15296274418.641,21280964646.28,15296274418.641
ARG,2022,0.6704066385025296,0.41302489875308823,9,8,24336572478.5,20007857856.072,24336572478.5,20007857856.072
ARG,2023,0.6595356295976617,0.344463623004812,9,9,22865789667.440002,20309222762.836002,22865789667.440002,20309222762.836
ARG,2024,0.628338559546497,0.3423632626526043,9,9,25709034666.09,16684091791.615,25709034666.09,16684091791.615
ARG,2025,0.6366149575453036,0.27977579050444007,9,7,24793280305.5,21175333687.554,24793280305.5,21175333687.554
BOL,2000,0.6850824058043196,0.6882382206029375,9,8,528719926.0,959639862.0,528719926.0,959639862.0
BOL,2001,0.6550775798613885,0.6958018961828166,9,8,675644539.6999999,931205506.0,675644539.6999999,931205506.0
BOL,2002,0.6146694506792805,0.6539221843548668,9,9,633748076.03,1011199455.0,633748076.03,1011199455.0
BOL,2003,0.6119055929860877,0.6329120086247906,9,9,888308613.8299999,1399471252.6599998,888308613.83,1399471252.6599998
BOL,2004,0.5928317530927809,0.660895321060962,9,8,1202121119.28,1690029438.738,1202121119.28,1690029438.738
BOL,2005,0.5193207795609632,0.6440010116361129,9,9,1780788581.27,2085479530.062,1780788581.27,2085479530.062
BOL,2006,0.5237500032260942,0.6280946403841307,9,9,2495155824.2999997,2448036919.113,2495155824.3,2448036919.113
BOL,2007,0.513196697968268,0.6320015061847756,9,9,2688569469.2799997,2928303153.421,2688569469.28,2928303153.421
BOL,2008,0.44361447556434297,0.6612098198080233,9,8,4218502134.06,3913462746.769,4218502134.06,3913462746.769
BOL,2009,0.5829112753569853,0.668140259782747,9,9,2862489934.7999997,3192835711.8859997,2862489934.8,3192835711.8859997
BOL,2010,0.5412573688262816,0.6779667561354729,9,9,3824401463.2799993,3784374739.577,3824401463.2799997,3784374739.577
BOL,2011,0.5622967101493375,0.6720468653149432,9,9,5142197998.629999,4743897587.036,5142197998.63,4743897587.036
BOL,2012,0.6037779500256498,0.7004231184448492,9,9,7372256714.949999,5065363453.035999,7372256714.95,5065363453.036
BOL,2013,0.5856909090766178,0.7026895896370947,9,8,8221930391.829999,5271587535.533,8221930391.83,5271587535.533
BOL,2014,0.5717093381528836,0.7025029876300843,9,9,7885103363.860001,5145267422.447999,7885103363.86,5145267422.448
BOL,2015,0.6007534829182598,0.7166716168136599,9,9,5060684463.68,4526652160.538,5060684463.68,4526652160.538
BOL,2016,0.6818937436101499,0.7063718459105339,9,9,3382464321.69,4171193712.7660003,3382464321.69,4171193712.7660003
BOL,2017,0.6572575747155127,0.7181801201947245,9,9,3740596396.62,4320207545.6310005,3740596396.62,4320207545.631
BOL,2018,0.6558501580233187,0.7244671113719944,9,9,4305918651.6,4163215792.135,4305918651.6,4163215792.135
BOL,2019,0.6694323987136559,0.7312235779854388,9,9,4006591506.56,4007101337.2850003,4006591506.56,4007101337.285
BOL,2020,0.7196681600079001,0.7287011619253534,9,9,3333132986.3,3122571888.65,3333132986.3,3122571888.65
BOL,2021,0.7495286430626209,0.7157713180104873,9,9,4364958675.62,4021858058.321,4364958675.62,4021858058.321
BOL,2022,0.7426506684811005,0.698516902708127,9,8,6251026810.8,4753741392.561,6251026810.8,4753741392.561
BOL,2023,0.7445107285906875,0.6812687916140083,9,9,4616879421.88,4584019989.025,4616879421.88,4584019989.025
BOL,2024,0.7178263065470624,0.6979127940779527,9,9,3555090982.66,3652709003.413,3555090982.66,3652709003.413
BOL,2025,0.7348504223613624,0.5810597107082289,9,7,3023161466.4500003,2956536481.5639997,3023161466.45,2956536481.564
BRA,2000,0.6097690908940733,0.4195227632994298,9,9,10654921465.0,9333516436.0,10654921465.0,9333516436.0
BRA,2001,0.6676711459900857,0.4462943861369211,9,9,9762335921.0,8537794631.27,9762335921.0,8537794631.27
BRA,2002,0.8031961222584865,0.46947961206183936,9,9,8180048477.0,6832415719.49,8180048477.0,6832415719.49
BRA,2003,0.7426360055039148,0.5085592104876263,9,9,11365523897.0,6972996964.205999,11365523897.0,6972996964.206
BRA,2004,0.720655756581852,0.5530774586650975,9,9,16891108015.0,8680861076.819,16891108015.0,8680861076.819
BRA,2005,0.7221846730132505,0.5862806052648979,9,9,21777201556.0,10899598964.308,21777201556.0,10899598964.308
BRA,2006,0.7356740653684416,0.5975226051249016,9,9,25788923321.0,14727966750.13,25788923321.0,14727966750.13
BRA,2007,0.6992401570843083,0.6140268241548739,9,9,28817029631.0,19099774909.918,28817029631.0,19099774909.918
BRA,2008,0.6882173075704364,0.6280435545460863,9,8,33646429488.0,25161928015.276,33646429488.0,25161928015.276
BRA,2009,0.6771979538859226,0.5841396157538482,9,9,23244566932.0,19451513822.931,23244566932.0,19451513822.931
BRA,2010,0.6631139657335611,0.6290902667004414,9,9,33164385508.0,26976853412.388,33164385508.0,26976853412.388
BRA,2011,0.6467448943954903,0.6364539406047002,9,9,39703476388.0,32509438180.378,39703476388.0,32509438180.378
BRA,2012,0.6955092912244194,0.6641259750274435,9,9,34522086039.0,33142546955.181,34522086039.0,33142546955.181
BRA,2013,0.6632302773718394,0.6844223543654957,9,8,35086253554.0,33424496774.457,35086253554.0,33424496774.457
BRA,2014,0.7250992076533691,0.695624134284479,9,9,29882633829.0,29854448826.609,29882633829.0,29854448826.609
BRA,2015,0.7290722483532568,0.6966396482092923,9,9,26759537956.0,21890236262.310997,26759537956.0,21890236262.311
BRA,2016,0.723133073170102,0.6877027933299864,9,9,27868041899.0,18749440797.36,27868041899.0,18749440797.36
BRA,2017,0.7008181668292767,0.7121061123153318,9,9,34643031356.0,20929285713.968,34643031356.0,20929285713.968
BRA,2018,0.7362670260376168,0.6964563884517628,9,9,33467493311.0,24153181107.103996,33467493311.0,24153181107.104
BRA,2019,0.7997127265754365,0.6911635892929365,9,9,27806605296.0,22314980006.841003,27806605296.0,22314980006.841
BRA,2020,0.7837175142843193,0.692497541094145,9,9,22102553487.0,17338303434.282,22102553487.0,17338303434.282
BRA,2021,0.7947779889011681,0.6792222405701815,9,9,33808064077.0,24559623890.309,33808064077.0,24559623890.309002
BRA,2022,0.795438032421766,0.6983910412928881,9,8,43793625570.0,27310745202.935,43793625570.0,27310745202.935
BRA,2023,0.775769516416264,0.6996018770204768,9,9,43938293955.0,25785625628.99,43938293955.0,25785625628.99
BRA,2024,0.7822982259117669,0.6818506279739007,9,9,37474737927.0,28665922403.85,37474737927.0,28665922403.85
BRA,2025,0.7503582406651997,0.6158538358642864,9,7,42805434457.0,25483109765.24,42805434457.0,25483109765.239998
CHL,2000,0.8174222554618438,0.6243589023820298,9,9,3459705279.0,5179607016.0,3459705279.0,5179607016.0
CHL,2001,0.8554203360233966,0.5758476739747435,9,9,3837756644.0,5235297138.610001,3837756644.0,5235297138.61
CHL,2002,0.8474127160672166,0.5507119183611222,9,9,3057982247.0,5285092970.66,3057982247.0,5285092970.66
CHL,2003,0.8900223704613437,0.5546941526522737,9,9,4075541474.5720005,6512538612.440001,4075541474.572,6512538612.44
CHL,2004,0.8674233692909963,0.6043665376561143,9,9,5384918878.559,8085740706.610001,5384918878.559,8085740706.61
CHL,2005,0.8489824126618883,0.6261224269116469,9,9,6645678565.494,10570852683.0,6645678565.494,10570852683.0
CHL,2006,0.8246237127059394,0.663796387428805,9,9,9217054583.51,11540458159.75,9217054583.51,11540458159.75
CHL,2007,0.8284413064255162,0.6985012159281355,9,9,10339197396.248001,12444278383.56,10339197396.248001,12444278383.56
CHL,2008,0.8430754545347097,0.7551591487373331,9,8,11815266191.307,15474155473.529999,11815266191.307,15474155473.53
CHL,2009,0.8352261588456508,0.7240528072872774,9,9,8717995099.43,10550883878.810001,8717995099.43,10550883878.81
CHL,2010,0.8029007198696697,0.7492413524031984,9,9,11313618544.056002,14020427200.36,11313618544.056,14020427200.36
CHL,2011,0.8179393560810571,0.7830877774671355,9,9,12712444849.421999,17822072889.17,12712444849.421999,17822072889.17
CHL,2012,0.8161365953958835,0.8152606027786237,9,9,11708161715.735,18848564730.38,11708161715.735,18848564730.38
