nombre,country,top_partner,top_partner_share,riesgo_cronico,p_alert
México,MEX,USA,0.9277460318436876,Alto,0.006861681200307
Honduras,HND,USA,0.71152299657097,Alto,0.3905340054187879
Colombia,COL,USA,0.5932289182847268,Alto,9.753967300064234e-13
Guatemala,GTM,USA,0.5925534733747709,Alto,0.3327994211182107
Perú,PER,CHN,0.512824132060129,Alto,0.9967735137147132
Brasil,BRA,CHN,0.5040178147161288,Alto,0.9195464171772896
Chile,CHL,CHN,0.4704593329745347,Moderado,0.9521619015400944
Ecuador,ECU,USA,0.3841516393348033,Moderado,6.171571295134523e-05
Bolivia,BOL,CHN,0.2862198943226146,Bajo,1.6498199547824954e-06
Argentina,ARG,BRA,0.2851977080595127,Bajo,0.2839389162316935
