country,n_obs,sup_f_stat,candidate_break_year,bootstrap_pvalue,significant_break_p05,cusum_stat,cusum_pvalue
ARG,25,11.192,2007,0.0065,True,0.702,0.7073
BOL,25,74.009,2009,0.0,True,1.137,0.1504
BRA,25,7.038,2007,0.0565,False,0.833,0.4916
CHL,25,5.561,2005,0.1125,False,0.479,0.9759
COL,25,14.947,2007,0.0015,True,0.887,0.4115
ECU,25,6.316,2004,0.0835,False,0.625,0.8291
GTM,25,27.266,2007,0.0,True,1.108,0.1714
HND,22,15.277,2019,0.0005,True,1.033,0.2368
MEX,25,11.871,2015,0.005,True,0.893,0.4031
PER,25,27.611,2009,0.0,True,0.779,0.5784
