country,n_obs,sup_f_stat,candidate_break_year,bootstrap_pvalue,significant_break_p05,cusum_stat,cusum_pvalue
ARG,26,17.518,2003,0.001,True,0.84,0.4813
BOL,26,8.783,2016,0.0155,True,0.789,0.5617
BRA,26,51.734,2008,0.0,True,1.124,0.1599
CHL,26,9.612,2009,0.016,True,0.837,0.4852
COL,26,16.606,2022,0.001,True,0.865,0.4429
ECU,26,18.796,2007,0.0005,True,0.959,0.3168
GTM,26,6.463,2006,0.1765,False,0.637,0.8113
HND,22,35.035,2012,0.0,True,0.869,0.4369
MEX,26,63.994,2011,0.0,True,1.183,0.122
PER,25,45.925,2015,0.0,True,1.105,0.1737
