exporter,importer,year,value_usd
ARG,BOL,2000,268840104.0
ARG,BRA,2000,6990801568.0
ARG,CHL,2000,2674327252.0
ARG,CHN,2000,796927268.0
ARG,COL,2000,130741050.0
ARG,ECU,2000,62682204.0
ARG,DEU,2000,595469173.0
ARG,GTM,2000,33683283.0
ARG,HND,2000,8068320.0
ARG,JPN,2000,379783229.0
ARG,KOR,2000,151050312.0
ARG,MEX,2000,326354909.0
ARG,PER,2000,295272066.0
ARG,USA,2000,3148713321.0
ARG,BOL,2001,265259303.0
ARG,BRA,2001,6205629881.0
ARG,CHL,2001,2851693186.0
ARG,CHN,2001,1122612132.0
ARG,COL,2001,186445266.0
ARG,ECU,2001,103054931.0
ARG,DEU,2001,463769290.0
ARG,GTM,2001,43762035.0
ARG,HND,2001,7392555.0
ARG,JPN,2001,364148174.0
ARG,KOR,2001,396380754.0
ARG,MEX,2001,484271546.0
ARG,PER,2001,393954434.0
ARG,USA,2001,2900129494.0
ARG,BOL,2002,299987369.0
ARG,BRA,2002,4827790868.0
ARG,CHL,2002,2961084427.0
ARG,CHN,2002,1092354111.0
ARG,COL,2002,188622596.0
ARG,ECU,2002,162447956.0
ARG,DEU,2002,631649431.0
ARG,GTM,2002,47460666.0
ARG,HND,2002,8605788.0
ARG,JPN,2002,408007011.0
ARG,KOR,2002,355446323.0
ARG,MEX,2002,669804499.0
ARG,PER,2002,444305470.0
ARG,USA,2002,2957202479.0
ARG,BOL,2003,241509060.0
ARG,BRA,2003,4663288569.0
ARG,CHL,2003,3536325592.0
ARG,CHN,2003,2478422770.0
ARG,COL,2003,226503205.0
ARG,ECU,2003,135748948.0
ARG,DEU,2003,720761070.0
ARG,GTM,2003,75165102.0
ARG,HND,2003,9826690.0
ARG,JPN,2003,344023660.0
ARG,KOR,2003,434130602.0
ARG,MEX,2003,796212388.0
ARG,PER,2003,414430984.0
ARG,USA,2003,3133532964.0
ARG,BOL,2004,287734727.0
ARG,BRA,2004,5411829940.0
ARG,CHL,2004,3830577482.0
ARG,CHN,2004,2630446718.0
ARG,COL,2004,273011398.0
ARG,ECU,2004,194454558.0
ARG,DEU,2004,779278157.0
ARG,GTM,2004,87488311.0
ARG,HND,2004,32332645.0
ARG,JPN,2004,404784087.0
ARG,KOR,2004,356608436.0
ARG,MEX,2004,1032298218.0
ARG,PER,2004,497888832.0
ARG,USA,2004,3707822011.0
ARG,BOL,2005,379553775.0
ARG,BRA,2005,6328294321.0
ARG,CHL,2005,4497160876.0
ARG,CHN,2005,3154288661.0
ARG,COL,2005,360635163.0
ARG,ECU,2005,264554368.0
ARG,DEU,2005,800601660.0
ARG,GTM,2005,126248444.0
ARG,HND,2005,47574924.0
ARG,JPN,2005,284752718.0
ARG,KOR,2005,344540353.0
ARG,MEX,2005,1157631370.0
ARG,PER,2005,599277995.0
ARG,USA,2005,4570411052.0
ARG,BOL,2006,380544872.0
ARG,BRA,2006,8140971732.0
ARG,CHL,2006,4404623233.0
ARG,CHN,2006,3475852699.0
ARG,COL,2006,550873214.0
ARG,ECU,2006,302420127.0
ARG,DEU,2006,1124426957.0
ARG,GTM,2006,171814160.0
ARG,HND,2006,85697232.0
ARG,JPN,2006,398009454.0
ARG,KOR,2006,428629119.0
ARG,MEX,2006,1519175242.0
ARG,PER,2006,728913458.0
ARG,USA,2006,4119114845.0
ARG,BOL,2007,462686005.0
ARG,BRA,2007,10486056017.0
ARG,CHL,2007,4176200606.0
ARG,CHN,2007,5166608745.0
ARG,COL,2007,576031532.0
ARG,ECU,2007,345274118.0
ARG,DEU,2007,1221234768.0
ARG,GTM,2007,154301588.0
ARG,HND,2007,61476900.0
ARG,JPN,2007,666244344.0
ARG,KOR,2007,674971839.0
ARG,MEX,2007,1433738971.0
ARG,PER,2007,957848103.0
ARG,USA,2007,4344407421.0
ARG,BOL,2008,606850969.0
ARG,BRA,2008,13273283152.0
ARG,CHL,2008,4713566797.0
ARG,CHN,2008,6354956917.0
ARG,COL,2008,810319783.0
ARG,ECU,2008,458071907.0
ARG,DEU,2008,1507967347.0
ARG,GTM,2008,107246674.0
ARG,HND,2008,27556533.0
ARG,JPN,2008,519301359.0
ARG,KOR,2008,587686360.0
ARG,MEX,2008,1336503951.0
ARG,PER,2008,1312616047.0
ARG,USA,2008,5401769038.0
ARG,BOL,2009,580917900.0
ARG,BRA,2009,11379425651.0
ARG,CHL,2009,4386658944.0
ARG,CHN,2009,3666460751.0
ARG,COL,2009,874364407.0
ARG,ECU,2009,454574025.0
ARG,DEU,2009,1391485715.0
ARG,GTM,2009,92422992.0
ARG,HND,2009,16677836.0
ARG,JPN,2009,493393428.0
ARG,KOR,2009,587775054.0
ARG,MEX,2009,935186414.0
ARG,PER,2009,794705468.0
ARG,USA,2009,3680361388.0
ARG,BOL,2010,608412416.0
ARG,BRA,2010,14432985360.0
ARG,CHL,2010,4493082976.0
ARG,CHN,2010,5798857973.0
ARG,COL,2010,1302600876.0
ARG,ECU,2010,501375140.0
ARG,DEU,2010,1832055668.0
ARG,GTM,2010,79592994.0
ARG,HND,2010,12085613.0
ARG,JPN,2010,853777849.0
ARG,KOR,2010,776357698.0
ARG,MEX,2010,1230645434.0
ARG,PER,2010,1131982434.0
ARG,USA,2010,3668828239.0
ARG,BOL,2011,757408841.0
ARG,BRA,2011,17317105273.0
ARG,CHL,2011,4772318044.0
ARG,CHN,2011,6033117422.0
ARG,COL,2011,1806028969.0
ARG,ECU,2011,484975278.0
ARG,DEU,2011,2485979752.0
ARG,GTM,2011,99655900.0
ARG,HND,2011,24086139.0
ARG,JPN,2011,842992617.0
ARG,KOR,2011,972961902.0
ARG,MEX,2011,921285266.0
ARG,PER,2011,1793980271.0
ARG,USA,2011,4301136327.0
ARG,BOL,2012,852160027.0
ARG,BRA,2012,16456671673.0
ARG,CHL,2012,5051833888.0
ARG,CHN,2012,5068295629.0
ARG,COL,2012,2079591109.0
ARG,ECU,2012,417795549.0
ARG,DEU,2012,1970216475.0
ARG,GTM,2012,133844853.0
ARG,HND,2012,33621485.0
ARG,JPN,2012,1207486042.0
ARG,KOR,2012,1381682468.0
ARG,MEX,2012,889136695.0
ARG,PER,2012,1924853114.0
ARG,USA,2012,4023110914.0
ARG,BOL,2013,792976401.0
ARG,BRA,2013,15948973280.0
ARG,CHL,2013,3823118434.0
ARG,CHN,2013,5511587665.0
ARG,COL,2013,1530541047.0
ARG,ECU,2013,346989153.0
ARG,DEU,2013,1637227523.0
ARG,GTM,2013,150692798.0
ARG,HND,2013,30711555.0
ARG,JPN,2013,1391731304.0
ARG,KOR,2013,1002346923.0
ARG,MEX,2013,970251366.0
ARG,PER,2013,1420998196.0
ARG,USA,2013,4182358092.0
ARG,COL,2014,860275100.94
ARG,GTM,2014,55607868.38
ARG,HND,2014,34439766.31
ARG,KOR,2014,485209376.86
ARG,BOL,2014,792184703.43
ARG,BRA,2014,13882694554.2
ARG,CHL,2014,2792208417.82
ARG,CHN,2014,4459977676.38
ARG,ECU,2014,398789382.08
ARG,DEU,2014,1536738696.86
ARG,JPN,2014,748396340.5
ARG,MEX,2014,907503152.21
ARG,PER,2014,1113946069.87
ARG,USA,2014,4081823567.07
ARG,HND,2015,13690268.63
ARG,KOR,2015,582440894.11
ARG,MEX,2015,820451952.67
ARG,BOL,2015,621854385.0
ARG,BRA,2015,10098298889.25
ARG,CHL,2015,2404533452.03
ARG,CHN,2015,5172217719.21
ARG,COL,2015,394004917.84
ARG,ECU,2015,212769270.6
ARG,DEU,2015,1344333735.01
ARG,GTM,2015,68116590.6
ARG,JPN,2015,572731847.37
ARG,PER,2015,720480565.95
ARG,USA,2015,3434544757.84
ARG,CHN,2016,4433497800.73
ARG,HND,2016,20774770.25
ARG,KOR,2016,865957658.38
ARG,BOL,2016,562974038.98
ARG,BRA,2016,9039096959.29
ARG,CHL,2016,2306087499.66
ARG,COL,2016,528150724.64
ARG,ECU,2016,241349621.0
ARG,DEU,2016,1271520126.47
ARG,GTM,2016,72115501.86
ARG,JPN,2016,657635828.24
ARG,MEX,2016,780489365.44
ARG,PER,2016,821401825.11
ARG,USA,2016,4490794349.53
ARG,CHN,2017,4324962269.78
ARG,GTM,2017,147294194.28
ARG,JPN,2017,636689488.64
ARG,KOR,2017,506196934.23
ARG,BOL,2017,612416750.79
ARG,BRA,2017,9307368227.08
ARG,CHL,2017,2620647021.47
ARG,COL,2017,557599471.79
ARG,ECU,2017,378803788.88
ARG,DEU,2017,1164812147.32
ARG,HND,2017,69409816.73
ARG,MEX,2017,645775459.45
ARG,PER,2017,1072660656.07
ARG,USA,2017,4517083170.79
ARG,KOR,2018,291531321.92
ARG,MEX,2018,734649732.42
ARG,JPN,2018,484298811.89
ARG,DEU,2018,1051588360.6
ARG,ECU,2018,406531975.66
ARG,CHN,2018,4210929514.56
ARG,COL,2018,650002261.33
ARG,CHL,2018,3036518130.84
ARG,USA,2018,4277904697.25
ARG,PER,2018,1169516300.18
ARG,BOL,2018,643985547.68
ARG,BRA,2018,11291357444.39
ARG,GTM,2018,127761563.57
ARG,HND,2018,66976195.87
ARG,USA,2019,4109531993.38
ARG,BRA,2019,10385463386.4
ARG,KOR,2019,842700139.94
ARG,CHN,2019,6817852799.41
ARG,COL,2019,896672874.44
ARG,CHL,2019,3069240819.41
ARG,DEU,2019,941690786.93
ARG,GTM,2019,144645716.66
ARG,HND,2019,56194318.87
ARG,JPN,2019,452885232.11
ARG,BOL,2019,617926718.22
ARG,PER,2019,1588094707.98
ARG,MEX,2019,669689499.5
ARG,ECU,2019,292288414.51
ARG,PER,2020,1377828586.48
ARG,KOR,2020,691445771.51
ARG,MEX,2020,437950811.34
ARG,DEU,2020,722593090.35
ARG,JPN,2020,317462402.6
ARG,CHL,2020,2888447135.19
ARG,ECU,2020,235205407.82
ARG,COL,2020,586730484.17
ARG,USA,2020,3309514801.56
ARG,CHN,2020,5244394119.79
ARG,BOL,2020,523177433.1
ARG,BRA,2020,7941276027.52
ARG,HND,2020,41346607.47
ARG,GTM,2020,124578365.01
ARG,CHN,2021,6155976377.3
ARG,BOL,2021,564622320.18
ARG,COL,2021,1129879435.9
ARG,ECU,2021,616957433.16
ARG,HND,2021,62226796.55
ARG,GTM,2021,231658098.63
ARG,BRA,2021,11766915665.76
ARG,KOR,2021,1720166412.17
ARG,USA,2021,4995203073.21
ARG,PER,2021,2007648016.3
ARG,MEX,2021,696174781.0
ARG,DEU,2021,810665236.96
ARG,JPN,2021,721943983.15
ARG,CHL,2021,4204882098.8
ARG,DEU,2022,887391021.61
ARG,COL,2022,1426405351.55
ARG,KOR,2022,2017783824.23
ARG,BOL,2022,543456809.99
ARG,BRA,2022,12637341711.84
ARG,MEX,2022,1116947033.21
ARG,JPN,2022,794564190.92
ARG,PER,2022,2438979397.05
ARG,HND,2022,94574343.45
ARG,GTM,2022,302325908.67
ARG,CHN,2022,7928765039.97
ARG,CHL,2022,5019868878.04
ARG,ECU,2022,756673044.7
ARG,USA,2022,6700936242.48
ARG,PER,2023,2554614988.95
ARG,USA,2023,5648061872.45
ARG,JPN,2023,658805136.28
ARG,KOR,2023,1184802878.2
ARG,DEU,2023,763964928.58
ARG,GTM,2023,313762575.62
ARG,HND,2023,146481637.89
ARG,COL,2023,1283559012.69
ARG,ECU,2023,456639420.24
ARG,CHN,2023,5173514945.26
ARG,BOL,2023,472074183.52
ARG,BRA,2023,11856694694.54
ARG,MEX,2023,841802008.28
ARG,CHL,2023,4940161145.71
ARG,KOR,2024,1233672426.77
ARG,ECU,2024,688794405.67
ARG,DEU,2024,817019397.63
ARG,CHN,2024,5979408050.28
ARG,GTM,2024,433024966.29
ARG,CHL,2024,6343951509.76
ARG,BRA,2024,13620061004.13
ARG,COL,2024,837035788.77
ARG,USA,2024,6476353027.96
ARG,JPN,2024,307775067.13
ARG,PER,2024,2480480202.37
ARG,BOL,2024,395260695.77
ARG,HND,2024,114070203.25
ARG,MEX,2024,796355890.08
ARG,BRA,2025,12783029019.98
ARG,COL,2025,916599364.42
ARG,HND,2025,144580066.73
ARG,USA,2025,8326621834.85
ARG,PER,2025,2549209298.24
ARG,ECU,2025,748562727.96
ARG,JPN,2025,295849268.17
ARG,KOR,2025,576858280.24
ARG,BOL,2025,391499483.27
ARG,CHL,2025,6282585593.81
ARG,DEU,2025,1112221609.01
ARG,GTM,2025,320327183.3
ARG,MEX,2025,656887567.79
ARG,CHN,2025,9716808774.15
BOL,USA,2000,353911308.0
BOL,BRA,2000,166488036.0
BOL,PER,2000,61373185.0
BOL,ARG,2000,61219331.0
BOL,CHL,2000,30746328.0
BOL,CHN,2000,5506134.0
BOL,COL,2000,196030169.0
BOL,ECU,2000,5954052.0
BOL,DEU,2000,13180996.0
BOL,GTM,2000,35416.0
BOL,HND,2000,87416.0
BOL,JPN,2000,3483231.0
BOL,KOR,2000,1748415.0
BOL,MEX,2000,6785993.0
BOL,USA,2001,187886135.49
BOL,ARG,2001,67460441.35
BOL,BRA,2001,299550200.27
BOL,CHL,2001,30308794.61
BOL,CHN,2001,5069530.52
BOL,COL,2001,191931292.42
BOL,ECU,2001,10209652.42
BOL,DEU,2001,8442405.53
BOL,GTM,2001,211569.2
BOL,HND,2001,137657.38
BOL,JPN,2001,2811986.38
BOL,KOR,2001,1845069.24
BOL,MEX,2001,8318217.43
BOL,PER,2001,67516714.62
BOL,CHL,2002,32797045.66
BOL,CHN,2002,7716444.64
BOL,PER,2002,73751737.37
BOL,USA,2002,192147993.85
BOL,ARG,2002,27652539.05
BOL,BRA,2002,336568456.49
BOL,COL,2002,139474698.04
BOL,ECU,2002,3135124.54
BOL,DEU,2002,6642343.35
BOL,GTM,2002,339290.96
BOL,HND,2002,181630.9
BOL,JPN,2002,5863545.97
BOL,KOR,2002,3411970.5
BOL,MEX,2002,19847553.02
BOL,MEX,2003,21101711.68
BOL,JPN,2003,18579289.08
BOL,CHN,2003,11547836.46
BOL,USA,2003,236660801.21
BOL,DEU,2003,6776008.59
BOL,GTM,2003,378849.54
BOL,COL,2003,157766155.15
BOL,KOR,2003,16952148.61
BOL,PER,2003,89922901.13
BOL,ECU,2003,13787005.5
BOL,HND,2003,202270.76
BOL,BRA,2003,503969235.11
BOL,CHL,2003,44000578.44
BOL,ARG,2003,57179906.52
BOL,KOR,2004,56681740.09
BOL,DEU,2004,10246963.85
BOL,ARG,2004,131780655.77
BOL,JPN,2004,68403711.58
BOL,COL,2004,126657036.0
BOL,CHL,2004,50119567.61
BOL,GTM,2004,1572948.28
BOL,ECU,2004,9231652.42
BOL,HND,2004,165490.04
BOL,CHN,2004,23499037.87
BOL,MEX,2004,26992532.15
BOL,BRA,2004,716396236.59
BOL,USA,2004,360769144.16
BOL,PER,2004,139205000.42
BOL,JPN,2005,135140088.56
BOL,KOR,2005,60140672.52
BOL,MEX,2005,20155710.27
BOL,PER,2005,126977210.82
BOL,ARG,2005,268809196.03
BOL,CHL,2005,39763814.0
BOL,COL,2005,181157869.13
BOL,ECU,2005,3040776.16
BOL,GTM,2005,482624.13
BOL,HND,2005,127501.47
BOL,BRA,2005,1140273879.26
BOL,CHN,2005,20565144.06
BOL,DEU,2005,15349910.7
BOL,USA,2005,409197313.15
BOL,JPN,2006,377962202.85
BOL,COL,2006,161913342.27
BOL,ECU,2006,10832193.23
BOL,GTM,2006,508960.22
BOL,HND,2006,206324.5
BOL,CHN,2006,35570304.47
BOL,KOR,2006,48806599.19
BOL,DEU,2006,17671974.17
BOL,MEX,2006,21677435.09
BOL,ARG,2006,391585681.6
BOL,USA,2006,412489510.26
BOL,PER,2006,249481048.57
BOL,BRA,2006,1590978802.07
BOL,CHL,2006,67972036.75
