exporter,importer,year,value_usd
ARG,BOL,2000,268840104.0
ARG,BRA,2000,6990801568.0
ARG,CHL,2000,2674327252.0
ARG,COL,2000,130741050.0
ARG,ECU,2000,62682204.0
ARG,GTM,2000,33683283.0
ARG,HND,2000,8068320.0
ARG,MEX,2000,326354909.0
ARG,PER,2000,295272066.0
ARG,BOL,2001,265259303.0
ARG,BRA,2001,6205629881.0
ARG,CHL,2001,2851693186.0
ARG,COL,2001,186445266.0
ARG,ECU,2001,103054931.0
ARG,GTM,2001,43762035.0
ARG,HND,2001,7392555.0
ARG,MEX,2001,484271546.0
ARG,PER,2001,393954434.0
ARG,BOL,2002,299987369.0
ARG,BRA,2002,4827790868.0
ARG,CHL,2002,2961084427.0
ARG,COL,2002,188622596.0
ARG,ECU,2002,162447956.0
ARG,GTM,2002,47460666.0
ARG,HND,2002,8605788.0
ARG,MEX,2002,669804499.0
ARG,PER,2002,444305470.0
ARG,BOL,2003,241509060.0
ARG,BRA,2003,4663288569.0
ARG,CHL,2003,3536325592.0
ARG,COL,2003,226503205.0
ARG,ECU,2003,135748948.0
ARG,GTM,2003,75165102.0
ARG,HND,2003,9826690.0
ARG,MEX,2003,796212388.0
ARG,PER,2003,414430984.0
ARG,BOL,2004,287734727.0
ARG,BRA,2004,5411829940.0
ARG,CHL,2004,3830577482.0
ARG,COL,2004,273011398.0
ARG,ECU,2004,194454558.0
ARG,GTM,2004,87488311.0
ARG,HND,2004,32332645.0
ARG,MEX,2004,1032298218.0
ARG,PER,2004,497888832.0
ARG,BOL,2005,379553775.0
ARG,BRA,2005,6328294321.0
ARG,CHL,2005,4497160876.0
ARG,COL,2005,360635163.0
ARG,ECU,2005,264554368.0
ARG,GTM,2005,126248444.0
ARG,HND,2005,47574924.0
ARG,MEX,2005,1157631370.0
ARG,PER,2005,599277995.0
ARG,BOL,2006,380544872.0
ARG,BRA,2006,8140971732.0
ARG,CHL,2006,4404623233.0
ARG,COL,2006,550873214.0
ARG,ECU,2006,302420127.0
ARG,GTM,2006,171814160.0
ARG,HND,2006,85697232.0
ARG,MEX,2006,1519175242.0
ARG,PER,2006,728913458.0
ARG,BOL,2007,462686005.0
ARG,BRA,2007,10486056017.0
ARG,CHL,2007,4176200606.0
ARG,COL,2007,576031532.0
ARG,ECU,2007,345274118.0
ARG,GTM,2007,154301588.0
ARG,HND,2007,61476900.0
ARG,MEX,2007,1433738971.0
ARG,PER,2007,957848103.0
ARG,BOL,2008,606850969.0
ARG,BRA,2008,13273283152.0
ARG,CHL,2008,4713566797.0
ARG,COL,2008,810319783.0
ARG,ECU,2008,458071907.0
ARG,GTM,2008,107246674.0
ARG,HND,2008,27556533.0
ARG,MEX,2008,1336503951.0
ARG,PER,2008,1312616047.0
ARG,BOL,2009,580917900.0
ARG,BRA,2009,11379425651.0
ARG,CHL,2009,4386658944.0
ARG,COL,2009,874364407.0
ARG,ECU,2009,454574025.0
ARG,GTM,2009,92422992.0
ARG,HND,2009,16677836.0
ARG,MEX,2009,935186414.0
ARG,PER,2009,794705468.0
ARG,BOL,2010,608412416.0
ARG,BRA,2010,14432985360.0
ARG,CHL,2010,4493082976.0
ARG,COL,2010,1302600876.0
ARG,ECU,2010,501375140.0
ARG,GTM,2010,79592994.0
ARG,HND,2010,12085613.0
ARG,MEX,2010,1230645434.0
ARG,PER,2010,1131982434.0
ARG,BOL,2011,757408841.0
ARG,BRA,2011,17317105273.0
ARG,CHL,2011,4772318044.0
ARG,COL,2011,1806028969.0
ARG,ECU,2011,484975278.0
ARG,GTM,2011,99655900.0
ARG,HND,2011,24086139.0
ARG,MEX,2011,921285266.0
ARG,PER,2011,1793980271.0
ARG,BOL,2012,852160027.0
ARG,BRA,2012,16456671673.0
ARG,CHL,2012,5051833888.0
ARG,COL,2012,2079591109.0
ARG,ECU,2012,417795549.0
ARG,GTM,2012,133844853.0
ARG,HND,2012,33621485.0
ARG,MEX,2012,889136695.0
ARG,PER,2012,1924853114.0
ARG,BOL,2013,792976401.0
ARG,BRA,2013,15948973280.0
ARG,CHL,2013,3823118434.0
ARG,COL,2013,1530541047.0
ARG,ECU,2013,346989153.0
ARG,GTM,2013,150692798.0
ARG,HND,2013,30711555.0
ARG,MEX,2013,970251366.0
ARG,PER,2013,1420998196.0
ARG,COL,2014,860275100.94
ARG,GTM,2014,55607868.38
ARG,HND,2014,34439766.31
ARG,BOL,2014,792184703.43
ARG,BRA,2014,13882694554.2
ARG,CHL,2014,2792208417.82
ARG,ECU,2014,398789382.08
ARG,MEX,2014,907503152.21
ARG,PER,2014,1113946069.87
ARG,HND,2015,13690268.63
ARG,MEX,2015,820451952.67
ARG,BOL,2015,621854385.0
ARG,BRA,2015,10098298889.25
ARG,CHL,2015,2404533452.03
ARG,COL,2015,394004917.84
ARG,ECU,2015,212769270.6
ARG,GTM,2015,68116590.6
ARG,PER,2015,720480565.95
ARG,HND,2016,20774770.25
ARG,BOL,2016,562974038.98
ARG,BRA,2016,9039096959.29
ARG,CHL,2016,2306087499.66
ARG,COL,2016,528150724.64
ARG,ECU,2016,241349621.0
ARG,GTM,2016,72115501.86
ARG,MEX,2016,780489365.44
ARG,PER,2016,821401825.11
ARG,GTM,2017,147294194.28
ARG,BOL,2017,612416750.79
ARG,BRA,2017,9307368227.08
ARG,CHL,2017,2620647021.47
ARG,COL,2017,557599471.79
ARG,ECU,2017,378803788.88
ARG,HND,2017,69409816.73
ARG,MEX,2017,645775459.45
ARG,PER,2017,1072660656.07
ARG,MEX,2018,734649732.42
ARG,ECU,2018,406531975.66
ARG,COL,2018,650002261.33
ARG,CHL,2018,3036518130.84
ARG,PER,2018,1169516300.18
ARG,BOL,2018,643985547.68
ARG,BRA,2018,11291357444.39
ARG,GTM,2018,127761563.57
ARG,HND,2018,66976195.87
ARG,BRA,2019,10385463386.4
ARG,COL,2019,896672874.44
ARG,CHL,2019,3069240819.41
ARG,GTM,2019,144645716.66
ARG,HND,2019,56194318.87
ARG,BOL,2019,617926718.22
ARG,PER,2019,1588094707.98
ARG,MEX,2019,669689499.5
ARG,ECU,2019,292288414.51
ARG,PER,2020,1377828586.48
ARG,MEX,2020,437950811.34
ARG,CHL,2020,2888447135.19
ARG,ECU,2020,235205407.82
ARG,COL,2020,586730484.17
ARG,BOL,2020,523177433.1
ARG,BRA,2020,7941276027.52
ARG,HND,2020,41346607.47
ARG,GTM,2020,124578365.01
ARG,BOL,2021,564622320.18
ARG,COL,2021,1129879435.9
ARG,ECU,2021,616957433.16
ARG,HND,2021,62226796.55
ARG,GTM,2021,231658098.63
ARG,BRA,2021,11766915665.76
ARG,PER,2021,2007648016.3
ARG,MEX,2021,696174781.0
ARG,CHL,2021,4204882098.8
ARG,COL,2022,1426405351.55
ARG,BOL,2022,543456809.99
ARG,BRA,2022,12637341711.84
ARG,MEX,2022,1116947033.21
ARG,PER,2022,2438979397.05
ARG,HND,2022,94574343.45
ARG,GTM,2022,302325908.67
ARG,CHL,2022,5019868878.04
ARG,ECU,2022,756673044.7
ARG,PER,2023,2554614988.95
ARG,GTM,2023,313762575.62
ARG,HND,2023,146481637.89
ARG,COL,2023,1283559012.69
ARG,ECU,2023,456639420.24
ARG,BOL,2023,472074183.52
ARG,BRA,2023,11856694694.54
ARG,MEX,2023,841802008.28
ARG,CHL,2023,4940161145.71
ARG,ECU,2024,688794405.67
ARG,GTM,2024,433024966.29
ARG,CHL,2024,6343951509.76
ARG,BRA,2024,13620061004.13
ARG,COL,2024,837035788.77
ARG,PER,2024,2480480202.37
ARG,BOL,2024,395260695.77
ARG,HND,2024,114070203.25
ARG,MEX,2024,796355890.08
ARG,BRA,2025,12783029019.98
ARG,COL,2025,916599364.42
ARG,HND,2025,144580066.73
ARG,PER,2025,2549209298.24
ARG,ECU,2025,748562727.96
ARG,BOL,2025,391499483.27
ARG,CHL,2025,6282585593.81
ARG,GTM,2025,320327183.3
ARG,MEX,2025,656887567.79
BOL,BRA,2000,166488036.0
BOL,PER,2000,61373185.0
BOL,ARG,2000,61219331.0
BOL,CHL,2000,30746328.0
BOL,COL,2000,196030169.0
BOL,ECU,2000,5954052.0
BOL,GTM,2000,35416.0
BOL,HND,2000,87416.0
BOL,MEX,2000,6785993.0
BOL,ARG,2001,67460441.35
BOL,BRA,2001,299550200.27
BOL,CHL,2001,30308794.61
BOL,COL,2001,191931292.42
BOL,ECU,2001,10209652.42
BOL,GTM,2001,211569.2
BOL,HND,2001,137657.38
BOL,MEX,2001,8318217.43
BOL,PER,2001,67516714.62
BOL,CHL,2002,32797045.66
BOL,PER,2002,73751737.37
BOL,ARG,2002,27652539.05
BOL,BRA,2002,336568456.49
BOL,COL,2002,139474698.04
BOL,ECU,2002,3135124.54
BOL,GTM,2002,339290.96
BOL,HND,2002,181630.9
BOL,MEX,2002,19847553.02
BOL,MEX,2003,21101711.68
BOL,GTM,2003,378849.54
BOL,COL,2003,157766155.15
BOL,PER,2003,89922901.13
BOL,ECU,2003,13787005.5
BOL,HND,2003,202270.76
BOL,BRA,2003,503969235.11
BOL,CHL,2003,44000578.44
BOL,ARG,2003,57179906.52
BOL,ARG,2004,131780655.77
BOL,COL,2004,126657036.0
BOL,CHL,2004,50119567.61
BOL,GTM,2004,1572948.28
BOL,ECU,2004,9231652.42
BOL,HND,2004,165490.04
BOL,MEX,2004,26992532.15
BOL,BRA,2004,716396236.59
BOL,PER,2004,139205000.42
BOL,MEX,2005,20155710.27
BOL,PER,2005,126977210.82
BOL,ARG,2005,268809196.03
BOL,CHL,2005,39763814.0
BOL,COL,2005,181157869.13
BOL,ECU,2005,3040776.16
BOL,GTM,2005,482624.13
BOL,HND,2005,127501.47
BOL,BRA,2005,1140273879.26
BOL,COL,2006,161913342.27
BOL,ECU,2006,10832193.23
BOL,GTM,2006,508960.22
BOL,HND,2006,206324.5
BOL,MEX,2006,21677435.09
BOL,ARG,2006,391585681.6
BOL,PER,2006,249481048.57
BOL,BRA,2006,1590978802.07
BOL,CHL,2006,67972036.75
BOL,PER,2007,233715811.24
BOL,BRA,2007,1750714801.94
BOL,CHL,2007,60956224.56
BOL,ARG,2007,433323392.67
BOL,ECU,2007,19029937.95
BOL,MEX,2007,31152415.08
BOL,HND,2007,293900.35
BOL,COL,2007,159129773.51
BOL,GTM,2007,253211.98
BOL,PER,2008,292645721.8
BOL,ECU,2008,13953438.58
BOL,HND,2008,312861.75
BOL,GTM,2008,85945.1
BOL,ARG,2008,519285708.43
BOL,BRA,2008,3047524707.99
BOL,MEX,2008,39840061.88
BOL,COL,2008,218184419.0
BOL,CHL,2008,86669269.53
BOL,COL,2009,293170448.96
BOL,ECU,2009,35794382.3
BOL,BRA,2009,1670794847.42
BOL,MEX,2009,27428619.03
BOL,ARG,2009,456049673.2
BOL,HND,2009,142480.5
BOL,GTM,2009,1383140.67
BOL,PER,2009,294122714.91
BOL,CHL,2009,83603627.81
BOL,COL,2010,231134048.94
BOL,ECU,2010,64374635.38
BOL,GTM,2010,413986.6
BOL,HND,2010,280918.91
BOL,MEX,2010,32194738.05
BOL,PER,2010,403043190.94
BOL,ARG,2010,578748615.03
BOL,BRA,2010,2413681445.95
BOL,CHL,2010,100529883.48
BOL,BRA,2011,3034053008.75
BOL,COL,2011,261121536.14
BOL,ECU,2011,90335958.07
BOL,GTM,2011,370090.3
BOL,HND,2011,296390.16
BOL,ARG,2011,1074289729.76
BOL,CHL,2011,157495096.67
BOL,MEX,2011,54325194.05
BOL,PER,2011,469910994.73
BOL,ARG,2012,2126758025.31
BOL,CHL,2012,237855322.15
BOL,COL,2012,422134556.28
BOL,ECU,2012,222150405.29
BOL,GTM,2012,388719.77
BOL,HND,2012,147749.96
BOL,MEX,2012,37126110.52
BOL,PER,2012,647544322.95
BOL,BRA,2012,3678151502.72
BOL,BRA,2013,4043249073.47
BOL,CHL,2013,163865782.68
BOL,COL,2013,651281664.91
BOL,ECU,2013,151159664.63
BOL,GTM,2013,2096598.97
BOL,HND,2013,98020.92
BOL,PER,2013,660917514.4
BOL,ARG,2013,2523462459.31
BOL,MEX,2013,25799612.54
BOL,ARG,2014,2563813038.72
BOL,BRA,2014,3849904902.31
BOL,CHL,2014,113004788.67
BOL,COL,2014,646998853.83
BOL,ECU,2014,103054190.52
BOL,GTM,2014,268895.43
BOL,HND,2014,174363.11
BOL,MEX,2014,43880899.25
BOL,PER,2014,564003432.02
BOL,ARG,2015,1497183469.54
BOL,BRA,2015,2450898924.78
BOL,CHL,2015,91212601.59
BOL,COL,2015,547756922.17
BOL,ECU,2015,123158136.42
BOL,GTM,2015,1372013.72
BOL,HND,2015,262836.66
BOL,MEX,2015,25349892.99
BOL,PER,2015,323489665.81
BOL,BRA,2016,1378349595.54
BOL,GTM,2016,655840.09
BOL,CHL,2016,102320202.98
BOL,HND,2016,217561.03
BOL,MEX,2016,24905335.08
BOL,ARG,2016,830565113.64
BOL,PER,2016,369011262.15
BOL,ECU,2016,92497513.95
BOL,COL,2016,583941897.23
BOL,PER,2017,329531282.66
BOL,ARG,2017,1277712643.45
BOL,MEX,2017,25420531.11
BOL,HND,2017,156876.0
BOL,BRA,2017,1458645320.05
BOL,GTM,2017,1228381.17
BOL,CHL,2017,114818575.58
BOL,COL,2017,417795271.01
BOL,ECU,2017,115287515.59
BOL,ARG,2018,1452170302.22
BOL,HND,2018,375408.34
BOL,CHL,2018,131371937.76
BOL,BRA,2018,1720705851.11
BOL,MEX,2018,20842398.62
BOL,ECU,2018,174938477.76
BOL,PER,2018,384830133.0
BOL,GTM,2018,1003650.4
BOL,COL,2018,419680492.39
BOL,GTM,2019,1023763.85
BOL,HND,2019,3615603.89
BOL,COL,2019,398430107.16
BOL,MEX,2019,42364965.12
BOL,BRA,2019,1533266181.09
BOL,PER,2019,383449210.27
BOL,ECU,2019,155294830.06
BOL,CHL,2019,111382514.49
BOL,ARG,2019,1377764330.63
BOL,GTM,2020,979839.57
BOL,HND,2020,237996.82
BOL,ARG,2020,1028476397.73
BOL,COL,2020,370445991.72
BOL,ECU,2020,178171309.24
BOL,BRA,2020,1116849258.52
BOL,PER,2020,463280738.53
BOL,MEX,2020,21343550.91
BOL,CHL,2020,153347903.26
BOL,GTM,2021,1777414.11
BOL,BRA,2021,1449012113.32
BOL,ARG,2021,1043386972.52
BOL,ECU,2021,290837316.25
BOL,CHL,2021,190278986.93
BOL,COL,2021,713650329.12
BOL,HND,2021,997040.08
BOL,MEX,2021,35449930.12
BOL,PER,2021,639568573.17
BOL,GTM,2022,3486508.6
BOL,BRA,2022,1893715575.02
BOL,HND,2022,187313.53
BOL,MEX,2022,38313619.2
BOL,ECU,2022,419902514.31
BOL,ARG,2022,1747421796.71
BOL,COL,2022,1058566782.17
BOL,PER,2022,852054240.71
BOL,CHL,2022,237378460.55
BOL,BRA,2023,1576261065.66
BOL,COL,2023,957941603.11
BOL,ECU,2023,257260217.79
BOL,GTM,2023,8997232.11
BOL,HND,2023,332425.2
BOL,MEX,2023,49731943.73
BOL,CHL,2023,179299790.23
BOL,PER,2023,590334543.81
BOL,ARG,2023,996720600.24
BOL,ARG,2024,512479598.14
BOL,ECU,2024,208182135.52
BOL,COL,2024,522122340.05
BOL,GTM,2024,4013403.56
BOL,CHL,2024,136114279.09
BOL,BRA,2024,1528032469.11
BOL,MEX,2024,43388803.92
BOL,HND,2024,147595.15
BOL,PER,2024,600610358.12
BOL,ARG,2025,190229126.2
BOL,BRA,2025,1246870742.34
BOL,CHL,2025,122357789.2
BOL,ECU,2025,227113783.63
BOL,GTM,2025,5581614.42
BOL,HND,2025,176626.34
BOL,MEX,2025,101795688.78
BOL,PER,2025,623424055.47
